symbol	017733	017748	017820	017824	017936	017939	017945	017947	017787-2	017741-1	017766-1	017798-1_1	017798-1_2	017794-1	017863-1	017901-2_1	017901-2_2	017911-1_1	017911-1_2	017835-1	017833-1	017906-1	017855-1_1	017855-1_2	017738-1	017884-2	017777-3	017842-2_1	017842-2_2	017918-3	017927-2	017841-3
CTRB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC776719	138	136	235	200	343	322	347	269	0	52	22	26	20	28	40	7	69	65	84	70	82	20	15	17	5	71	75	25	6	17	43	23
LAMTOR3	647	748	634	785	855	998	902	1048	1525	660	900	1215	1025	754	672	471	614	834	578	1411	323	3085	1783	1474	2752	4380	751	1335	1117	1262	1489	2043
TUBB3	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	14	0	8	0	0	10	76	0	58	0	27	2	0	19	15
SPR	71	69	65	80	87	145	134	38	0	125	118	197	260	235	114	253	145	303	223	88	104	111	205	296	149	121	97	84	143	159	84	144
DDIAS	105	151	66	161	135	129	186	183	92	176	248	211	236	214	71	152	135	169	126	212	335	479	359	220	324	313	331	253	275	178	237	226
IL4I1	6	7	22	8	5	0	7	10	0	57	154	34	56	30	27	186	392	69	135	0	15	148	364	551	3	22	184	95	38	36	39	0
TIMM17B	716	733	488	775	727	847	596	553	1563	943	887	1247	1619	1049	584	779	1368	1004	1162	1060	657	1929	1938	1932	2180	2667	927	1723	1755	1590	1464	1405
INTS4	1699	1498	1374	2081	1999	2043	1841	1818	999	1160	1669	2380	1768	1483	1263	911	1308	1930	1471	2005	1024	1295	1578	1034	1955	3953	1309	2036	1643	1901	1772	1940
ADIPOR1	554	635	543	551	566	778	758	567	197	594	518	675	809	582	558	630	634	670	487	872	565	916	1188	661	1130	2073	300	804	773	676	848	1142
UBE2T	12	40	3	43	34	30	10	25	416	142	217	117	208	165	57	126	300	165	99	103	75	152	141	70	138	198	173	53	34	181	187	119
LOC395100	1	0	6	14	5	10	22	33	0	23	16	2	8	25	21	0	20	14	0	37	4	77	43	10	39	42	60	17	0	1	7	34
LRIF1	842	748	636	1019	871	1100	915	986	761	481	678	783	684	526	456	482	387	450	512	798	487	802	794	655	663	630	860	1104	894	658	717	516
TRIM7.1	1	3	66	5	1	0	0	8	0	0	0	12	6	5	0	0	1	14	0	2	0	0	13	45	32	20	0	0	14	0	2	20
AFMID	366	314	394	365	339	318	471	382	157	132	104	163	236	125	109	130	257	149	233	194	235	61	46	26	64	98	251	108	79	201	168	81
PLP1	0	0	0	0	0	0	0	0	0	0	10	89	41	53	12	0	13	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0
HEP21	2	0	2	1	7	11	7	4	0	0	0	7	4	0	0	0	20	14	4	18	8	12	0	0	0	7	38	0	0	0	0	2
BMP10	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	22	0	0	0	0
RACK1	6708	7127	4919	8640	6497	9994	7728	7161	11540	6891	11429	12351	15642	8906	5030	7997	8373	5747	8466	5602	6846	6541	4052	4311	3973	4020	8192	5209	6135	8751	6941	4339
TCF25	1023	950	978	1337	1400	1511	1160	1334	1175	952	1658	1489	1732	1027	974	821	1338	1314	1395	1342	970	2090	1671	1402	2564	2640	999	1614	1689	1665	1508	1463
BLEC2	7	0	0	2	1	16	3	6	0	0	0	0	6	0	0	0	0	0	0	0	0	11	5	0	1	0	0	0	20	0	0	0
SNRPE	697	749	589	942	632	893	609	625	1028	1775	1706	1875	2142	1739	703	992	1641	1280	1631	768	853	963	690	979	435	785	1968	706	1055	1513	1549	809
BLB1	53	121	66	46	90	106	195	142	72	125	47	97	245	290	94	39	85	11	56	41	85	64	14	49	20	40	36	53	56	63	155	79
CEPT1	1354	1207	1053	1786	1630	1577	1188	1366	1231	883	1073	1310	1326	850	845	621	667	741	880	1646	649	1625	1325	914	1666	3578	905	1913	1832	1258	1626	1493
SUPT6H	6691	6388	6035	8341	8302	9597	7180	7543	5688	4499	5544	6584	5909	4466	3169	2482	3111	4396	4285	4345	3427	3808	4122	3819	4645	5667	5150	5610	5852	4743	4700	2731
